"Date";"Shift";"Sampling_time";"yard_bal";"crush";"imb_wtr";"imb_temp";"mixj_ds";"mixj_rs";"mol_ds";"mol_rs";"fcake_ds";"fcake_rs";"qty_dsl";"mesh_dsl";"bagtemp_dsl";"qty_dsm";"mesh_dsm";"bagtemp_dsm";"qty_dss";"mesh_dss";"bagtemp_dss";"qty_rsl";"mesh_rsl";"bagtemp_rsl";"qty_rsm";"mesh_rsm";"bagtemp_rsm";"qty_rss";"mesh_rss";"bagtemp_rss";"qty_p20";"bagtemp_p20";"qty_p30";"bagtemp_p30";"qty_p40";"bagtemp_p40";"FBDInlet_TempDS";"FBDInlet_MoistDS";"FBDOutlet_TempDS";"FBDOutlet_MoistDS";"Hopper_TempDS";"Hopper_MoistDS";"FBDInlet_TempRS";"FBDInlet_MoistRS";"FBDOutlet_TempRS";"FBDOutlet_MoistRS";"Hopper_TempRS";"Hopper_MoistRS";"RSDInlet_Temp";"RSDInlet_Moist";"RSDOutlet_Temp";"RSDOutlet_Moist";"timestamp"
"2023-12-06";"A";"8-9 AM";32062.0;3856.0;1400.0;76.0;2200.0;2210.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-07 12:40:44"
"2023-12-13";"C";"7-8 AM";40400.0;97000.0;38120.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-14 09:21:04"
"2023-12-13";"C";"7-8 AM";0.0;0.0;0.0;75.0;53900.0;53850.0;1880.0;2210.0;1843.0;1843.0;0.0;0.0;0.0;3929.0;95.88;36.0;676.0;89.17;32.5;341.0;98.23;36.0;3239.0;96.0;37.0;1252.0;87.75;35.0;300.0;0.0;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-14 09:31:28"
"2023-12-14";"C";"7-8 AM";31900.0;96000.0;37480.0;73.0;52470.0;53870.0;3200.0;2275.0;1801.0;1847.0;0.0;0.0;0.0;3965.0;0.0;36.0;600.0;0.0;30.0;234.0;0.0;34.0;3369.0;0.0;38.0;1265.0;0.0;37.0;258.0;0.0;119.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-15 09:26:23"
"2023-12-15";"C";"7-8 AM";23402.0;100714.0;38270.0;73.0;55320.0;55470.0;3200.0;2275.0;1912.0;1915.0;320.0;0.0;29.0;3370.0;0.0;34.0;630.0;0.0;33.0;152.0;0.0;0.0;3062.0;0.0;37.0;1298.0;0.0;35.0;234.0;29.0;87.0;29.0;179.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-16 10:46:21"
"2023-12-17";"C";"7-8 AM";15500.0;100400.0;38490.0;75.0;55180.0;55197.0;3200.0;3055.0;0.0;0.0;498.0;0.0;29.0;3905.0;0.0;34.0;528.0;0.0;33.0;206.0;0.0;0.0;3405.0;0.0;37.0;1160.0;0.0;35.0;255.0;0.0;130.0;0.0;395.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-18 09:54:31"
"2023-12-18";"C";"12-1 AM";14700.0;100400.0;38420.0;74.0;55150.0;55150.0;3400.0;1965.0;1908.0;1908.0;530.0;0.0;33.0;3490.0;97.0;37.0;560.0;84.0;35.0;240.0;98.0;35.0;3695.0;95.0;37.0;1185.0;91.0;37.0;155.0;36.0;151.0;37.0;304.0;36.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-19 09:25:38"
"2023-12-19";"C";"7-8 AM";23100.0;101000.0;38720.0;73.0;55380.0;56030.0;3200.0;2780.0;1908.0;1930.0;260.0;96.81;34.0;3810.0;96.4;37.0;582.0;90.35;33.0;249.0;98.8;35.0;3413.0;90.24;37.0;1056.0;85.0;35.0;365.0;0.0;40.0;0.0;227.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-20 10:30:55"
"2023-12-20";"C";"7-8 AM";30100.0;100000.0;38820.0;72.0;55390.0;55660.0;3360.0;2600.0;1900.0;1900.0;585.0;94.01;32.0;3900.0;94.64;35.0;535.0;88.38;29.0;340.0;99.0;35.0;3414.0;96.74;36.0;840.0;65.63;35.0;282.0;37.0;279.0;35.0;450.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-21 09:55:22"
"2023-12-21";"C";"7-8 AM";31200.0;97000.0;37900.0;72.0;47700.0;49300.0;3400.0;2600.0;1813.0;1873.0;372.0;0.0;32.0;3630.0;0.0;35.0;640.0;0.0;30.0;383.0;0.0;35.0;3142.0;0.0;36.0;1018.0;0.0;35.0;313.0;25.0;148.0;0.0;346.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-22 09:43:23"
"2023-12-22";"C";"7-8 AM";32700.0;100500.0;38760.0;75.0;55510.0;56200.0;3440.0;2470.0;1900.0;1919.0;560.0;97.0;116.0;3852.0;96.0;35.0;371.0;98.67;34.0;347.0;98.72;35.0;3343.0;97.49;35.0;848.0;74.22;34.0;297.0;34.0;163.0;35.0;352.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-23 09:37:56"
"2023-12-23";"A";"8-9 AM";27300.0;100200.0;39050.0;76.0;55310.0;56270.0;3400.0;2600.0;1889.0;1919.0;486.0;98.0;32.0;3967.0;97.0;34.0;597.0;94.0;30.0;326.0;97.0;33.0;3185.0;96.0;34.0;1140.0;75.0;34.0;248.0;34.0;130.0;34.0;271.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-24 11:22:38"
"2023-12-24";"C";"7-8 AM";13291.0;100000.0;38900.0;69.22;55130.0;56570.0;3320.0;2210.0;1873.0;19.27;483.0;98.0;33.0;3688.0;97.0;35.0;675.0;95.0;32.0;304.0;99.0;34.0;3664.0;69.0;34.0;832.0;71.0;34.0;223.0;31.0;131.0;30.0;289.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-25 09:48:46"
"2023-12-25";"C";"7-8 AM";24300.0;50000.0;19680.0;69.0;27570.0;28330.0;2200.0;16900.0;935.0;965.0;183.0;96.0;31.0;2193.0;97.0;37.0;201.0;91.0;31.0;332.0;98.0;32.0;2796.0;95.0;36.0;879.0;86.0;37.0;17.0;30.0;17.0;29.0;22.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-26 10:13:34"
"2023-12-26";"C";"7-8 AM";17000.0;100000.0;39110.0;75.21;55000.0;55950.0;3320.0;2145.0;1885.0;1915.0;214.0;96.0;32.0;3776.0;97.0;35.0;531.0;96.0;29.0;903.0;99.0;34.0;2950.0;98.0;36.0;1167.0;64.0;37.0;0.0;0.0;0.0;0.0;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-27 09:44:40"
"2023-12-30";"C";"7-8 AM";9600.0;93900.0;36800.0;75.0;51620.0;53240.0;3280.0;2145.0;1756.0;1812.0;176.0;98.98;34.0;386.0;98.18;37.0;687.0;97.54;29.0;667.0;98.37;34.0;3413.0;97.11;38.0;954.0;72.83;36.0;141.0;29.0;75.0;28.0;261.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-31 10:21:41"
"2023-12-31";"C";"7-8 AM";11800.0;100200.0;39370.0;74.0;55330.0;56670.0;3360.0;2275.0;1881.0;1927.0;155.0;0.0;29.0;3910.0;0.0;35.0;627.0;0.0;31.0;648.0;0.0;34.0;3403.0;0.0;35.0;1297.0;0.0;35.0;233.0;29.0;122.0;28.0;343.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-01 09:46:21"
