"Date";"Shift";"Sampling_time";"CJ_Pol";"CJ_Brix";"FJ_Pol";"FJ_Brix";"UtrSyrp_Pol";"UtrSyrp_Brix";"RawMc_Pol";"RawMc_Brix";"R1Mc_Pol";"R1Mc_Brix";"R2Mc_Pol";"R2Mc_Brix";"BMc_Pol";"BMc_Brix";"CMc_Pol";"CMc_Brix";"AH_Mol_Pol";"AH_Mol_Brix";"AL_Mol_Pol";"AL_Mol_Brix";"R1_Mol_Pol";"R1_Mol_Brix";"R2_Mol_Pol";"R2_Mol_Brix";"BH_Mol_Pol";"BH_Mol_Brix";"CL_Mol_Pol";"CL_Mol_Brix";"FMol_Pol";"FMol_Brix";"FCake_Pol";"op_mode";"R1Mc_IU";"R2Mc_IU";"R1Mol_IU";"R2Mol_IU";"RawMlt_Pol";"RawMlt_Brix";"RawMlt_IU";"ClearMlt_Pol";"ClearMlt_Brix";"ClearMlt_IU";"Pol_FineLiqourMelt";"Brix_FineLiqourMelt";"IU_FineLiqourMelt";"IERInlet_IU";"IERInlet_PH";"IEROutlet_IU";"IEROutlet_PH";"timestamp"
"2023-12-06";"A";"9-10 AM";10.34;13.14;9.18;11.96;60.1;77.05;80.8;93.1;85.4;87.1;0.0;0.0;71.55;66.9;51.19;47.5;57.8;80.0;59.2;64.4;63.9;68.1;0.0;0.0;39.6;85.6;48.8;75.4;28.2;88.0;2.1;"C Heavy";915.0;0.0;0.0;0.0;62.3;63.3;869.0;60.4;61.1;622.0;0.0;0.0;0.0;622.0;7.16;247.0;8.06;"2023-12-07 12:00:59"
"2023-12-12";"B";"4-5 PM";10.55;13.32;8.54;11.13;56.9;72.3;80.0;92.1;86.8;88.3;0.0;0.0;65.7;92.6;47.2;92.3;61.1;78.3;57.9;62.2;69.2;73.6;0.0;0.0;40.1;85.0;44.5;76.8;28.7;87.3;1.91;"C Heavy";423.0;0.0;0.0;0.0;62.1;63.2;854.0;62.3;63.1;544.0;63.1;63.4;240.0;0.0;0.0;156.0;7.56;"2023-12-12 19:32:25"
"2023-12-12";"B";"11-12 AM";10.38;13.06;9.29;12.06;56.5;71.6;80.0;92.1;86.8;88.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.7;86.3;1.88;"C Heavy";409.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;115.0;7.58;"2023-12-12 23:48:57"
"2023-12-12";"C";"1-2 AM";10.42;13.08;9.11;11.91;55.3;70.3;80.3;92.3;86.1;87.6;0.0;0.0;66.1;93.1;48.6;94.0;60.5;77.6;57.4;62.0;67.9;71.0;0.0;0.0;39.7;84.6;43.9;75.8;29.2;89.1;1.9;"B Heavy";576.0;0.0;0.0;0.0;63.0;64.1;797.0;61.3;62.1;553.0;64.9;65.2;264.0;0.0;0.0;252.0;7.58;"2023-12-13 06:49:31"
"2023-12-12";"C";"6-7 AM";10.4;13.18;8.3;10.76;55.6;71.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.2;89.1;0.0;"B Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;379.0;7.67;"2023-12-13 06:52:24"
"2023-12-13";"A";"9-10 AM";10.7;13.34;8.05;10.67;55.4;70.6;80.6;91.3;85.1;85.27;88.2;90.0;65.9;90.3;47.22;92.0;60.38;80.7;57.55;64.6;67.68;72.12;0.0;0.0;43.3;91.3;41.52;75.3;28.76;87.7;1.89;"C Heavy";0.0;0.0;0.0;0.0;60.7;61.6;854.0;59.85;60.6;687.0;60.25;60.6;291.0;0.0;0.0;0.0;0.0;"2023-12-13 18:53:03"
"2023-12-13";"A";"8-9 AM";10.59;13.26;8.45;11.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-13 18:54:30"
"2023-12-13";"A";"1-2 PM";10.45;13.18;8.62;11.26;56.5;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.74;86.3;1.93;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-13 19:00:25"
"2023-12-13";"A";"3-4 PM";10.47;13.1;7.91;10.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-13 19:01:55"
"2023-12-13";"B";"5-6 PM";11.05;13.86;9.07;11.83;59.5;75.3;79.7;90.7;88.3;89.3;84.9;86.3;65.6;91.3;48.0;92.3;55.9;75.2;57.2;62.2;0.0;0.0;0.0;0.0;40.6;85.0;46.1;78.3;28.2;87.3;1.91;"C Heavy";0.0;0.0;0.0;0.0;59.8;60.8;804.0;59.1;59.8;603.0;59.3;59.8;236.0;0.0;0.0;0.0;0.0;"2023-12-13 23:31:09"
