Date,start_time,end_time,section,machinery,remarks,timestamp
17-11-2023,17-11-2023 16:16,17-11-2023 17:14,MILLS,In-line Shredder,Shredder motor tripped on high vibration and 3 MW turbine (Both tripped),12-12-2023 12:57
19-11-2023,19-11-2023 11:28,19-11-2023 11:32,MILLS,Transmission Gearing 3,Loose bolt got tightened of 3rd mill transmission gear bearing bolt,12-12-2023 13:01
19-11-2023,19-11-2023 13:14,19-11-2023 13:19,MILLS,Transmission Gearing 3,Loose bolt got tightened of 3rd mill transmission gear bearing bolt,12-12-2023 13:02
19-11-2023,19-11-2023 17:41,19-11-2023 19:45,MILLS,Zero Mill,Zero mill tripped due to oil pump tripping and baggasse jamming on the cane belt conveyer due to failure of interlocking,12-12-2023 13:04
20-11-2023,21-11-2023 01:44,21-11-2023 01:47,MILLS,IRC 1,IRC-1 tripped due to high load,12-12-2023 13:06
21-11-2023,21-11-2023 09:58,21-11-2023 10:34,MILLS,In-line Shredder,For checking shredder vibration at no load,12-12-2023 13:07
21-11-2023,21-11-2023 12:55,21-11-2023 12:58,MILLS,IRC 1,IRC-1 tripped due to high load,12-12-2023 13:08
21-11-2023,21-11-2023 19:43,21-11-2023 20:58,BOILING HOUSE,Boiling House (DS) - Mechanical,Vapour cell 2500 sq.m juice inlet control valve joint leak,12-12-2023 13:10
22-11-2023,22-11-2023 14:27,22-11-2023 14:31,MILLS,In-line Shredder,Shredder tripping occurred due to high vibration,12-12-2023 13:11
22-11-2023,22-11-2023 18:44,22-11-2023 18:50,MILLS,In-line Shredder,Shredder tripping due to high vibration,12-12-2023 13:12
22-11-2023,23-11-2023 01:02,23-11-2023 01:26,OTHERS,Boiler - Electrical,Grid failure,12-12-2023 13:14
22-11-2023,23-11-2023 02:09,23-11-2023 08:08,MILLS,In-line Shredder,Shredder stoppage for checking work,12-12-2023 13:15
23-11-2023,23-11-2023 08:00,23-11-2023 11:28,MILLS,In-line Shredder,Shredder checking work,12-12-2023 13:16
23-11-2023,24-11-2023 00:26,24-11-2023 00:32,MILLS,IRC 2,IRC-2 stopped due to electrical problem,12-12-2023 13:17
