"Date";"Time";"timestamp";"SteamGen150";"SteamCon30MW";"SteamtoSugar110_3ATAPRDS";"Stmto3Old110_45ATAPRDS";"Stmto3New110_45ATAPRDS";"StmMillTurbine110_45ATAPRDS";"StmtoDistil110_45ATAPRDS_o";"Stm4MWTG110_45ATAPRDS";"ExtractionStm30MW";"Bleed2HPH1Stm";"Bleed1HPH2Stm";"TotalStmtoSug150";"Stmtodeareator150";"SteamGen35";"StmCons4";"StmCons45_55ATAPRDS";"Stm45_55ATADeareatorEjectorPRDS";"Extractionstm4";"TotalStmdistil";"StmtoEjector";"Stm35TDeareator";"StmtoSugDisti";"SteamGen70";"StmCons3Old35";"StmCons3New35";"StmDist70";"Stmto4_70TPH";"TotalStmtoSug70";"Firewood150";"Baggase150";"Firewood70";"Baggase70";"Firewood35";"Baggase35";"SlopCon"
"2023-12-07";"2023-12-08 09:39:00";"2023-12-08 09:48:22";3428.1;3338.1;90.0;0.0;0.0;0.0;0.0;0.0;2406.8;166.6;147.6;2346.0;130.0;827.0;827.0;0.0;0.0;587.0;494.0;10.7;97.2;0.0;1654.3;591.0;541.1;0.0;0.0;1612.6;0.0;1387.9;0.0;758.9;0.0;331.0;72.2
"2023-11-22";"2023-12-08 16:41:00";"2023-12-08 16:54:03";146.8;146.8;0.0;0.0;0.0;0.0;0.0;0.0;10.8;11.6;14.9;0.0;10.8;780.6;755.6;25.0;0.0;583.3;283.6;9.7;112.9;214.2;1464.0;520.1;491.3;0.0;0.0;1646.8;0.0;104.9;0.0;732.0;0.0;351.0;17.7
"2023-11-23";"2023-12-08 16:55:00";"2023-12-08 17:00:51";1256.8;1176.8;80.0;0.0;0.0;0.0;0.0;0.0;608.2;87.0;68.5;654.3;27.8;799.3;799.3;0.0;0.0;583.6;349.9;9.8;111.1;123.9;1395.9;529.0;457.1;0.0;0.0;1437.9;10.0;775.5;0.0;698.0;0.0;347.0;35.7
"2023-11-24";"2023-12-08 17:02:00";"2023-12-08 17:15:00";3162.1;3162.1;0.0;0.0;0.0;0.0;0.0;0.0;1964.9;223.4;180.3;1753.5;134.8;777.3;777.3;0.0;0.0;527.9;409.3;9.9;101.7;0.0;1487.2;586.4;422.7;0.0;0.0;1448.6;0.0;1317.5;0.0;743.6;0.0;327.0;54.5
"2023-11-25";"2023-12-08 17:16:00";"2023-12-08 17:24:02";3156.3;3156.3;0.0;0.0;0.0;0.0;0.0;0.0;1864.7;228.4;180.0;1636.4;137.1;798.8;798.8;0.0;0.0;553.4;433.2;9.9;103.8;0.0;1501.5;592.7;478.5;0.0;0.0;1464.5;0.0;1315.1;0.0;732.4;0.0;342.0;46.8
"2023-11-26";"2023-12-08 17:25:00";"2023-12-08 17:27:47";2894.9;2894.9;0.0;0.0;0.0;0.0;0.0;0.0;1636.0;210.6;166.0;1389.5;146.3;796.5;791.5;5.0;0.0;559.1;449.3;9.9;101.9;0.0;851.1;323.5;261.8;0.0;0.0;782.9;0.0;1206.2;0.0;448.0;0.0;345.0;41.6
"2023-11-27";"2023-12-08 17:29:00";"2023-12-08 17:32:49";3340.8;3315.8;25.0;0.0;0.0;0.0;0.0;0.0;2364.8;168.1;164.2;2179.6;140.5;789.8;785.8;4.0;0.0;526.8;409.3;9.9;101.5;0.0;1620.7;588.0;525.2;0.0;0.0;1594.8;0.0;1363.6;0.0;771.8;0.0;324.0;61.2
"2023-11-28";"2023-12-08 17:34:00";"2023-12-08 17:36:22";3314.9;3281.9;33.0;0.0;0.0;0.0;0.0;0.0;2320.3;151.6;156.0;2128.3;143.5;759.7;735.7;24.0;0.0;494.2;398.9;9.8;90.7;0.0;1612.6;584.0;527.2;0.0;0.0;1581.7;0.0;1353.0;0.0;767.9;0.0;310.0;62.5
"2023-11-29";"2023-12-08 17:38:00";"2023-12-08 17:39:42";3310.4;3303.4;7.0;0.0;0.0;0.0;0.0;0.0;2322.4;153.5;157.8;2112.9;131.5;827.9;824.9;3.0;0.0;608.1;425.7;9.8;103.8;82.1;1624.8;575.9;541.2;0.0;0.0;1690.4;0.0;1351.2;0.0;766.4;0.0;337.0;69.1
"2023-11-30";"2023-12-08 17:41:00";"2023-12-08 17:42:41";3330.5;3330.5;0.0;0.0;0.0;0.0;0.0;0.0;2322.6;153.3;158.3;2119.5;125.2;801.0;801.0;0.0;0.0;592.2;390.2;9.8;105.9;140.1;1616.3;583.1;530.9;0.0;0.0;1740.1;0.0;1359.4;0.0;751.8;0.0;338.0;44.3
