"Date";"start_time";"end_Time";"section";"sub_section";"machinery";"category";"remarks";"created_at";"timestamp"
"2023-12-14";"2023-12-14 05:31:00";"2023-12-14 05:32:00";"Others";"132 KV TRANSMISSION LINE";"Others";"Electrical";"A - 30 MW STG Grid breaker auto tripped at 05:31 AM due to heavy jerk observed from grid side, STG sync. with grid at 05:32 AM.";"2023-12-15 11:16:29";"2023-12-15 11:16:29"
"2023-12-25";"2023-12-25 10:27:00";"2023-12-25 19:05:00";"3MW Turbine (Old)";"OTHERS";"Others";"Other";"3 MW Old_STG set stopped at 10:27 AM  due to Schedule General Cleaning of Mill. STG set started and synch. with Grid at 07:05PM";"2023-12-26 18:00:16";"2023-12-26 18:00:16"
"2023-12-25";"2023-12-25 10:25:00";"2023-12-25 19:30:00";"3MW Turbine (New)";"OTHERS";"Others";"Other";"3 MW NEW_STG set stopped at 10:25 AM  due to Schedule General Cleaning of Mill. STG set started and taken in load at 07:30PM";"2023-12-26 18:01:47";"2023-12-26 18:01:47"
"2023-12-31";"2023-12-31 03:18:00";"2023-12-31 03:22:00";"Others";"OTHERS";"Others";"Electrical";"30 MW STG Grid breaker auto tripped at 03:18 AM due to heavy jerk observed from grid side, STG sync. with grid at 03:22 AM.";"2024-01-01 18:07:21";"2024-01-01 18:07:21"
"2024-01-03";"2024-01-03 08:36:00";"2024-01-03 08:38:00";"30.85 MW Turbine";"OTHERS";"Sub-Station";"Electrical";"30 MW STG Grid breaker auto tripped at 08:36 AM due to heavy jerk observed from Grid on a/c of tripping of 33 KV Beltuwa feeder from Dhaurahara Substation, Again STG sync. with Grid at 08:38 AM.";"2024-01-06 11:16:38";"2024-01-06 11:16:38"
"2024-01-04";"2024-01-04 13:19:00";"2024-01-04 13:24:00";"Grid";"132 KV TRANSMISSION LINE";"Sub-Station";"Electrical";"30 MW STG Grid breaker manually opened at 01:19PM to 01:24PM due to Grid changeover from Dhaurahara S/S on a/c of Shutdown taken by UPPTCL for B - Phase Line Isolator Jaw Contact replacement of 132 KV Dhaurahara - Nighashan Tr. Line at Nighashan Substation.";"2024-01-06 13:10:49";"2024-01-06 13:10:49"
"2024-01-04";"2024-01-04 14:36:00";"2024-01-04 14:39:00";"Grid";"132 KV TRANSMISSION LINE";"Sub-Station";"Electrical";"30 MW STG Grid breaker manually opened at 02:36PM to 02:39PM due to Grid changeover from Dhaurahara S/S on a/c of Shutdown taken by UPPTCL for B - Phase Line Isolator Jaw Contact replacement of 132 KV Dhaurahara - Nighashan Tr. Line at Nighashan S/S.";"2024-01-06 13:12:46";"2024-01-06 13:12:46"
"2024-01-04";"2024-01-04 22:43:00";"2024-01-04 22:49:00";"Grid";"132 KV TRANSMISSION LINE";"Sub-Station";"Electrical";"30 MW STG Grid breaker auto tripped at 10:43PM due to grid failed on a/c of tripping of 132KV Dhaurahara - GSMA Tr. line from Dhaurahar Substation, Grid resumed & Synch with GRID at 10:49PM.";"2024-01-06 13:14:41";"2024-01-06 13:14:41"
"2024-01-04";"2024-01-04 22:48:00";"2024-01-04 23:05:00";"150 TPH Boiler";"OTHERS";"Others";"Other";"150TPH Boiler tripped at 10:48 PM on negative furnace draft (-80mmWC) and all bagasse feeder tripped caused Boiler steam pressure low resulting stoppage of Mill for 17Mts.";"2024-01-06 13:20:06";"2024-01-06 13:20:06"
"2024-01-04";"2024-01-04 07:48:00";"2024-01-04 07:49:00";"Grid";"OTHERS";"Others";"Electrical";"30 MW STG Grid breaker auto tripped at 07:48 AM due to heavy jerk observed from Grid side, Again STG sync. with Grid at 07:49 AM.";"2024-01-06 13:23:34";"2024-01-06 13:23:34"
"2024-01-07";"2024-01-07 09:18:00";"2024-01-07 09:19:00";"Grid";"OTHERS";"Others";"Electrical";"30 MW STG GRID breaker auto tripped at 09:18 AM due to heavy jerk observed from Grid on a/c  of tripping of  132 KV Bajaj Energy Gola Tr. Line from Nighashan Substation, Again STG sync. with Grid at 09:19 AM.";"2024-01-08 12:00:49";"2024-01-08 12:00:49"
"2024-01-13";"2024-01-14 07:43:00";"2024-01-14 07:44:00";"Grid";"OTHERS";"Others";"Electrical";"30 MW STG Grid breaker auto tripped at 07:43 AM due to heavy jerk observed from grid side on a/c  of tripping of 33KV Kailashpuri feeder from Dhaurahra substation , Again STG sync. with grid at 07:44 AM.";"2024-01-14 15:54:18";"2024-01-14 15:54:18"
"2024-01-16";"2024-01-16 10:38:00";"2024-01-16 15:05:00";"35 TPH Boiler & 4MW Turbine";"FURNACE";"Others";"Other";"4 MW STG  set manually tripped at 10:38 AM due to main steam pressure low on a/c of disturbance in furnace due to slop, again STG sync. with Grid at 03:05 PM.";"2024-01-20 13:02:08";"2024-01-20 13:02:08"
