bucket,dept,equip_no,name,hierarchy_path,display_label
shared,electrical,ZIL/GSM/PP/01,30.85MW Steam Turbine,Power Plant > 30.85MW STG > Turbine > Gearbox | Power Plant > 30.85MW STG > Turbine > Barring Gear,
shared,electrical,ZIL/GSM/PP/02,30.85MW Generator Set,Power Plant > 30.85MW STG > Turbine > Alternator,
shared,electrical,ZIL/GSM/PP/03,150TPH Boiler,Power Plant > 150TPH BLR > Pressure Parts > Steam Drum,
shared,electrical,ZIL/GSM/PP/04,HP Heater -1,Power Plant > 150TPH BLR > Auxiliary Equipment > HP-01 | Power Plant > 70TPH BLR > Auxiliary Equipment > HP | Power Plant > 30.85MW STG > Turbine > HP Heater-1,
shared,electrical,ZIL/GSM/PP/05,HP Heater -2,Power Plant > 150TPH BLR > Auxiliary Equipment > HP-02 | Power Plant > 70TPH BLR > Auxiliary Equipment > LP | Power Plant > 30.85MW STG > Turbine > HP Heater-2,
shared,electrical,ZIL/GSM/PP/06,BFP-1,Power Plant > 150TPH BLR > Auxiliary Equipment > BFP -01 | Power Plant > 70TPH BLR > Auxiliary Equipment > BFP -01,
shared,electrical,ZIL/GSM/PP/07,BFP-2,Power Plant > 150TPH BLR > Auxiliary Equipment > BFP -02 | Power Plant > 70TPH BLR > Auxiliary Equipment > BFP -02,
shared,electrical,ZIL/GSM/PP/08,BFP-3,Power Plant > 150TPH BLR > Auxiliary Equipment > BFP -03 | Power Plant > 70TPH BLR > Auxiliary Equipment > BFP -03,
shared,electrical,ZIL/GSM/PP/09,BFP-4,Power Plant > 150TPH BLR > Auxiliary Equipment > BFP -04,
shared,electrical,ZIL/GSM/PP/10,ID Fan -1,Power Plant > 150TPH BLR > Auxiliary Equipment > ID Fan -01 | Power Plant > 70TPH BLR > Auxiliary Equipment > ID Fan -01,
shared,electrical,ZIL/GSM/PP/11,ID Fan-2,Power Plant > 150TPH BLR > Auxiliary Equipment > ID Fan -02 | Power Plant > 70TPH BLR > Auxiliary Equipment > ID Fan -02,
shared,electrical,ZIL/GSM/PP/12,FD Fan-1,Power Plant > 150TPH BLR > Auxiliary Equipment > FD Fan -01 | Power Plant > 70TPH BLR > Auxiliary Equipment > FD Fan,
shared,electrical,ZIL/GSM/PP/13,FD Fan-2,Power Plant > 150TPH BLR > Auxiliary Equipment > FD Fan -02,
shared,electrical,ZIL/GSM/PP/14,SA Fan -1,Power Plant > 150TPH BLR > Auxiliary Equipment > SA Fan -01 | Power Plant > 70TPH BLR > Auxiliary Equipment > SA Fan -01,
shared,electrical,ZIL/GSM/PP/14,SA Fan -2,Power Plant > 150TPH BLR > Auxiliary Equipment > SA Fan -02,
shared,electrical,ZIL/GSM/PP/15,BC-1,Power Plant > 150TPH BLR > Fuel Handling System (Phase-1) > Belt Conveyor -01 | Power Plant > 70TPH BLR > Fuel Handling System > MBC,
shared,electrical,ZIL/GSM/PP/15,CEP No.-1,Power Plant > 70TPH BLR > Auxiliary Equipment > Exhaust Condensate Drain Pump-1 | Power Plant > 30.85MW STG > Turbine > Pumps,
shared,electrical,ZIL/GSM/PP/15,CEP No.-2,Power Plant > 70TPH BLR > Auxiliary Equipment > Exhaust Condensate Drain Pump-2,
shared,electrical,ZIL/GSM/PP/15,MOP,Power Plant > 30.85MW STG > Turbine > Oil Cooler,
shared,electrical,ZIL/GSM/PP/16,BC-2,Power Plant > 150TPH BLR > Fuel Handling System (Phase-1) > Belt Conveyor -02,
shared,electrical,ZIL/GSM/PP/17,BC-3,Power Plant > 150TPH BLR > Fuel Handling System (Phase-1) > Belt Conveyor -03,
shared,electrical,ZIL/GSM/PP/18,BC-4,Power Plant > 150TPH BLR > Fuel Handling System (Phase-1) > Belt Conveyor -04,
shared,electrical,ZIL/GSM/PP/19,BC-5,Power Plant > 150TPH BLR > Fuel Handling System (Phase-1) > Belt Conveyor -05,
shared,electrical,ZIL/GSM/PP/20,BC-6,Power Plant > 150TPH BLR > Fuel Handling System (Phase-1) > Belt Conveyor -06,
shared,electrical,ZIL/GSM/PP/21,BC-7,Power Plant > 150TPH BLR > Fuel Handling System (Phase-1) > Belt Conveyor -07,
shared,electrical,ZIL/GSM/PP/22,BC-8,Power Plant > 150TPH BLR > Fuel Handling System (Phase-1) > Belt Conveyor -08,
shared,electrical,ZIL/GSM/PP/23,Bagasse Elevator,Power Plant > 150TPH BLR > Fuel Handling System (Phase-1) > Bagasse Elevator | Power Plant > 70TPH BLR > Fuel Handling System > Bagasse Elevator,
